mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,,,,,
11/12/2017,1:27,3.52,29.026,3.622,0.999,,,,,,
11/12/2017,1:37,3.52,29.009,3.504,1,,,,,,
11/12/2017,1:47,3.52,29.018,3.585,0.999,,,,,,
11/12/2017,1:57,3.52,29.044,3.783,0.999,,,,,,
11/12/2017,2:07,3.52,29.044,3.741,0.999,,,,,,
11/12/2017,2:17,3.52,29.035,3.599,0.998,,,,,,
11/12/2017,2:27,3.52,29.035,3.746,0.999,,,,,,
11/12/2017,2:37,3.52,29.061,3.83,1,,,,,,
11/12/2017,2:47,3.52,29.087,3.874,1,,,,,,
11/12/2017,2:57,3.52,29.052,3.887,1,,,,,,
11/12/2017,3:07,3.52,29.095,3.93,1,,,,,,
11/12/2017,3:17,3.52,29.069,3.91,0.999,,,,,,
11/12/2017,3:27,3.52,29.112,3.94,1.001,,,,,,
11/12/2017,3:37,3.52,29.087,3.985,0.999,,,,,,
11/12/2017,3:47,3.52,29.104,3.832,1.001,,,,,,
11/12/2017,3:57,3.52,29.104,3.806,1,,,,,,
11/12/2017,4:07,3.52,29.129,3.683,1,,,,,,
11/12/2017,4:17,3.52,29.138,3.811,1,,,,,,
11/12/2017,4:27,3.52,29.155,3.779,0.999,,,,,,
11/12/2017,4:37,3.52,29.138,3.697,0.999,,,,,,
11/12/2017,4:47,3.52,29.129,3.474,1,,,,,,
11/12/2017,4:57,3.52,29.138,3.484,1.001,,,,,,
11/12/2017,5:07,3.52,29.172,3.613,1.001,,,,,,
11/12/2017,5:17,3.52,29.155,3.608,1,,,,,,
11/12/2017,5:27,3.52,29.147,3.682,1,,,,,,
11/12/2017,5:37,3.52,29.207,3.464,1,,,,,,
11/12/2017,5:47,3.52,29.129,3.806,1,,,,,,
11/12/2017,5:57,3.52,29.155,3.357,1,,,,,,
11/12/2017,6:07,3.52,29.121,3.72,1,,,,,,
11/12/2017,6:17,3.52,29.129,3.743,1,,,,,,
11/12/2017,6:27,3.52,29.129,3.723,1.001,,,,,,
11/12/2017,6:37,3.52,29.241,3.736,0.999,,,,,,
11/12/2017,6:47,3.52,29.181,3.586,1,,,,,,
11/12/2017,6:57,3.52,29.284,3.78,1,,,,,,
11/12/2017,7:07,3.52,29.413,3.938,0.999,,,,,,
11/12/2017,7:17,3.52,29.37,3.853,0.999,,,,,,
11/12/2017,7:27,3.52,29.344,3.669,0.999,,,,,,
11/12/2017,7:37,3.52,29.319,3.62,1,,,,,,
11/12/2017,7:47,3.52,29.344,3.64,1,,,,,,
